# Comprimento_de_Onda(Angstrom) Fluxo
3.558253658729679955e+03 -1.098258814526136025e-19
3.559256712511473779e+03 1.820055634762930568e-18
3.560259766293267603e+03 3.750524578460358099e-18
3.561262820075061427e+03 5.680993315362632492e-18
3.562265873856854796e+03 7.611462052264906885e-18
3.563268927638648620e+03 9.541931202757487554e-18
3.564271981420442444e+03 1.147181305501515557e-17
3.565275035202235358e+03 1.157950121742159659e-17
3.566278088984029182e+03 1.420027905886928055e-17
3.567281142765823006e+03 1.132331593708841094e-17
3.568284196547616375e+03 1.165088607710431032e-17
3.569287250329410199e+03 1.240364938584900486e-17
3.570290304111204023e+03 1.213568505359306410e-17
3.571293357892997847e+03 1.262112261351470882e-17
3.572296411674791671e+03 1.181185046122345419e-17
3.573299465456585040e+03 1.128516719441807786e-17
3.574302519238378864e+03 1.007033748677881184e-17
3.575305573020172687e+03 1.136784637818459063e-17
3.576308626801966057e+03 1.282800296625605870e-17
3.577311680583759880e+03 1.070096592371882674e-17
3.578314734365553250e+03 1.093343924461256730e-17
3.579317788147346619e+03 1.111986672952793102e-17
3.580320841929140443e+03 1.108938181523290174e-17
3.581323895710934266e+03 1.144774375355108757e-17
3.582326949492728090e+03 9.120945901804749649e-18
3.583330003274521914e+03 1.076927863460651853e-17
3.584333057056315283e+03 1.217403728269408523e-17
3.585336110838109107e+03 1.010310872828693770e-17
3.586339164619902931e+03 1.071390468286038120e-17
3.587342218401696300e+03 1.116611026167270803e-17
3.588345272183490124e+03 1.153183824334567858e-17
3.589348325965283948e+03 1.205033159490616739e-17
3.590351379747077772e+03 1.114082748625002474e-17
3.591354433528870686e+03 1.020017175572513507e-17
3.592357487310664510e+03 1.102762533788030524e-17
3.593360541092458334e+03 1.155514074838190992e-17
3.594363594874252158e+03 1.092639497451606572e-17
3.595366648656045527e+03 1.148954780734829249e-17
3.596369702437839351e+03 1.161471264173675387e-17
3.597372756219633175e+03 1.037031040001810457e-17
3.598375810001426544e+03 1.008131748222984073e-17
3.599378863783220368e+03 1.099086543145844869e-17
3.600381917565014191e+03 1.132337549409251476e-17
3.601384971346808015e+03 1.097259797481082763e-17
3.602388025128601839e+03 1.069306634886894533e-17
3.603391078910395208e+03 1.191821430746919781e-17
3.604394132692188577e+03 1.250582356229216739e-17
3.605397186473982401e+03 1.135475707217155152e-17
3.606400240255775770e+03 1.140018665859357635e-17
3.607403294037569594e+03 1.059832769895202196e-17
3.608406347819363418e+03 1.014128228637564737e-17
3.609409401601156787e+03 9.868595580002641372e-18
3.610412455382950611e+03 9.129265684405808002e-18
3.611415509164744435e+03 9.190036989648853839e-18
3.612418562946538259e+03 8.800872499680418356e-18
3.613421616728332083e+03 1.071723656636774480e-17
3.614424670510125452e+03 1.009057694200675933e-17
3.615427724291919276e+03 9.037475106192023627e-18
3.616430778073713100e+03 9.258108163797680145e-18
3.617433831855506014e+03 9.408865966338532204e-18
3.618436885637299838e+03 1.005620841473579358e-17
3.619439939419093662e+03 1.051082936093677525e-17
3.620442993200887031e+03 9.853357258758189496e-18
3.621446046982680855e+03 9.783999818756843232e-18
3.622449100764474679e+03 1.029154378054896761e-17
3.623452154546268503e+03 1.062009412959074233e-17
3.624455208328062326e+03 1.124447983444781953e-17
3.625458262109855696e+03 1.002935978641354741e-17
3.626461315891649519e+03 8.187201265297740525e-18
3.627464369673443343e+03 1.006448931984806194e-17
3.628467423455236712e+03 1.058147141242941636e-17
3.629470477237030536e+03 9.964447615024061113e-18
3.630473531018823905e+03 1.128704820313102344e-17
3.631476584800617275e+03 1.135385048222019340e-17
3.632479638582411098e+03 1.006251566690651042e-17
3.633482692364204922e+03 1.012297429787801121e-17
3.634485746145998746e+03 9.916767270155279492e-18
3.635488799927792570e+03 9.637837004518723242e-18
3.636491853709585939e+03 9.811877459761105371e-18
3.637494907491379763e+03 9.887547115016843789e-18
3.638497961273173587e+03 9.532217620824277350e-18
3.639501015054966956e+03 1.010709160293638052e-17
3.640504068836760780e+03 1.075683783819372100e-17
3.641507122618554604e+03 1.006266373223615741e-17
3.642510176400348428e+03 1.044569550514312474e-17
3.643513230182141342e+03 9.425157288502764084e-18
3.644516283963935166e+03 9.230924527327349997e-18
3.645519337745728990e+03 9.845884509104385444e-18
3.646522391527522814e+03 1.027887633664833055e-17
3.647525445309316183e+03 9.200434649948645397e-18
3.648528499091110007e+03 9.153396197235204925e-18
3.649531552872903831e+03 1.195269698566469587e-17
3.650534606654697200e+03 1.136459142247419447e-17
3.651537660436491024e+03 8.961796351949547125e-18
3.652540714218284847e+03 9.989425987981324890e-18
3.653543768000078671e+03 1.094731685374936944e-17
3.654546821781872495e+03 1.049600959308227520e-17
3.655549875563665864e+03 8.601490539191861671e-18
3.656552929345459688e+03 8.976295173726376594e-18
3.657555983127253057e+03 9.882808197287527494e-18
3.658559036909046426e+03 9.193513629763414214e-18
3.659562090690840250e+03 9.540979945053051572e-18
3.660565144472634074e+03 1.000401828116737285e-17
3.661568198254427443e+03 9.105916030074661136e-18
3.662571252036221267e+03 8.912524511582213478e-18
3.663574305818015091e+03 8.880829432051019117e-18
3.664577359599808915e+03 8.760426676449025514e-18
3.665580413381602739e+03 9.268627419647516998e-18
3.666583467163396108e+03 9.525581150769764409e-18
3.667586520945189932e+03 9.315903273196760189e-18
3.668589574726983756e+03 9.418642413998296438e-18
3.669592628508777125e+03 9.719328356925609869e-18
3.670595682290570494e+03 9.392830242983579210e-18
3.671598736072364318e+03 1.032479892271543698e-17
3.672601789854157687e+03 1.105790924728648414e-17
3.673604843635951511e+03 9.398148187141682625e-18
3.674607897417745335e+03 9.546504684364293244e-18
3.675610951199539159e+03 9.623353071992919727e-18
3.676614004981332982e+03 9.475605379701148136e-18
3.677617058763126352e+03 1.021446295516821373e-17
3.678620112544920175e+03 9.035914216376136063e-18
3.679623166326713999e+03 8.432453699474812806e-18
3.680626220108507368e+03 9.806492513973385161e-18
3.681629273890301192e+03 1.127844552476047195e-17
3.682632327672095016e+03 9.855921518657103882e-18
3.683635381453887931e+03 1.125210726687617100e-17
3.684638435235681754e+03 1.048579887560092063e-17
3.685641489017475578e+03 1.068674007154413977e-17
3.686644542799269402e+03 8.853946062143045717e-18
3.687647596581063226e+03 8.313828555009195661e-18
3.688650650362856595e+03 1.008522094754047847e-17
3.689653704144650419e+03 9.156598213386397695e-18
3.690656757926444243e+03 8.736253150227775834e-18
3.691659811708237612e+03 9.260923059422198098e-18
3.692662865490031436e+03 9.520029941678921040e-18
3.693665919271825260e+03 1.014639839846428785e-17
3.694668973053619084e+03 1.032342083981492364e-17
3.695672026835412908e+03 9.761807390102658052e-18
3.696675080617205822e+03 1.021787755673683263e-17
3.697678134398999646e+03 9.901777930275206077e-18
3.698681188180793470e+03 9.388001162567494634e-18
3.699684241962586839e+03 1.010473579255182950e-17
3.700687295744380663e+03 1.036577910462253908e-17
3.701690349526174487e+03 9.982820123609476411e-18
3.702693403307967856e+03 9.545962053882458458e-18
3.703696457089761680e+03 8.956269958277080347e-18
3.704699510871555503e+03 8.904103812946423656e-18
3.705702564653349327e+03 9.164242189427000224e-18
3.706705618435143151e+03 9.678205899953148651e-18
3.707708672216936520e+03 9.818730651136107205e-18
3.708711725998730344e+03 9.110812112120362507e-18
3.709714779780523713e+03 8.807116886124581162e-18
3.710717833562317082e+03 9.086305232112253956e-18
3.711720887344110906e+03 9.730687201097188045e-18
3.712723941125904730e+03 9.324092361261035163e-18
3.713726994907698099e+03 8.891371848958007454e-18
3.714730048689491923e+03 9.607572120266633065e-18
3.715733102471285747e+03 9.998153570624371885e-18
3.716736156253079571e+03 9.764772005418048104e-18
3.717739210034873395e+03 8.873195382177767224e-18
3.718742263816666764e+03 9.140579033643695761e-18
3.719745317598460588e+03 9.734969515128375070e-18
3.720748371380254412e+03 9.025665448586604050e-18
3.721751425162047781e+03 9.195341698917156405e-18
3.722754478943841150e+03 9.097702953772622125e-18
3.723757532725634974e+03 9.246077648968708911e-18
3.724760586507428343e+03 9.833119457891467121e-18
3.725763640289222167e+03 1.040893559872126819e-17
3.726766694071015991e+03 1.107607413353814863e-17
3.727769747852809815e+03 1.054269814839660575e-17
3.728772801634603638e+03 1.076883030271451479e-17
3.729775855416397008e+03 1.006620241089665926e-17
3.730778909198190831e+03 1.023282471040566584e-17
3.731781962979984655e+03 1.021840777950947912e-17
3.732785016761778024e+03 9.018954532276961337e-18
3.733788070543571848e+03 8.390805982813380416e-18
3.734791124325365672e+03 7.809106106286489658e-18
3.735794178107158586e+03 7.878141773029552795e-18
3.736797231888952410e+03 8.660255104268853863e-18
3.737800285670746234e+03 8.558758388747372261e-18
3.738803339452540058e+03 8.507004179361766979e-18
3.739806393234333882e+03 9.264280585528550838e-18
3.740809447016127251e+03 9.698559506105628450e-18
3.741812500797921075e+03 9.349183230781606151e-18
3.742815554579714899e+03 9.948874285631525261e-18
3.743818608361508268e+03 1.026457686539912636e-17
3.744821662143302092e+03 1.014468034433201521e-17
3.745824715925095916e+03 1.006680294402137276e-17
3.746827769706889740e+03 9.632049221772689707e-18
3.747830823488683563e+03 9.484849950227040773e-18
3.748833877270476478e+03 9.053909530602227180e-18
3.749836931052270302e+03 9.332895217339824483e-18
3.750839984834064126e+03 9.273771655876984277e-18
3.751843038615857495e+03 8.479996732361910625e-18
3.752846092397651319e+03 8.660270820700492371e-18
3.753849146179445142e+03 8.336523082295200528e-18
3.754852199961238512e+03 6.358622981888522975e-18
3.755855253743032335e+03 7.455056260501542753e-18
3.756858307524826159e+03 1.113781985754278193e-17
3.757861361306619983e+03 9.262697361836124343e-18
3.758864415088413807e+03 9.429311389539005389e-18
3.759867468870207176e+03 9.398972886212397993e-18
3.760870522652001000e+03 9.301525219789363462e-18
3.761873576433794369e+03 9.014361198335454374e-18
3.762876630215587738e+03 8.984396580645720947e-18
3.763879683997381562e+03 9.422416839133375904e-18
3.764882737779175386e+03 9.068878190966986769e-18
3.765885791560968755e+03 9.481990386849444957e-18
3.766888845342762579e+03 1.001822428100735855e-17
3.767891899124556403e+03 9.323323083291360847e-18
3.768894952906350227e+03 8.711544438150204344e-18
3.769898006688144051e+03 8.795308882880386691e-18
3.770901060469937420e+03 8.158856267247385926e-18
3.771904114251731244e+03 7.595230287104778823e-18
3.772907168033525068e+03 7.695645877565653617e-18
3.773910221815318437e+03 7.709999942735286306e-18
3.774913275597111806e+03 8.329339018675177483e-18
3.775916329378905630e+03 9.019141475095398321e-18
3.776919383160698999e+03 8.768799398609287261e-18
3.777922436942492823e+03 8.945450435864886745e-18
3.778925490724286647e+03 9.701146927061694321e-18
3.779928544506080470e+03 9.913085489248805966e-18
3.780931598287874294e+03 9.047247417948725096e-18
3.781934652069667663e+03 9.260971035897726174e-18
3.782937705851461487e+03 9.277570069249827780e-18
3.783940759633255311e+03 9.919468014855265127e-18
3.784943813415048680e+03 9.086483903124565410e-18
3.785946867196842504e+03 7.323168102094250361e-18
3.786949920978636328e+03 8.819813281346657583e-18
3.787952974760429242e+03 8.432180729872670307e-18
3.788956028542223066e+03 8.793862971169643999e-18
3.789959082324016890e+03 9.220082671038617463e-18
3.790962136105810714e+03 9.066649766396768913e-18
3.791965189887604538e+03 1.025334706140310645e-17
3.792968243669397907e+03 1.050596967483802621e-17
3.793971297451191731e+03 9.692178634860394395e-18
3.794974351232985555e+03 9.389280810975114168e-18
3.795977405014778924e+03 9.612934732177814344e-18
3.796980458796572748e+03 9.548008498717914648e-18
3.797983512578366572e+03 8.744351248424669975e-18
3.798986566360160396e+03 8.165421599769219306e-18
3.799989620141954219e+03 8.329867587086598867e-18
3.800992673923747134e+03 8.104983648313032339e-18
3.801995727705540958e+03 8.333374832883823705e-18
3.802998781487334782e+03 9.335586863053072035e-18
3.804001835269128151e+03 9.085963606519269556e-18
3.805004889050921975e+03 8.880615192272367883e-18
3.806007942832715798e+03 9.580569636350452030e-18
3.807010996614509168e+03 9.961186869049377078e-18
3.808014050396302991e+03 9.956735810173229236e-18
3.809017104178096815e+03 9.545245715471987536e-18
3.810020157959890639e+03 8.894070939296767984e-18
3.811023211741684463e+03 8.734992526974245019e-18
3.812026265523477832e+03 8.761991702167975843e-18
3.813029319305271656e+03 8.634916907745129519e-18
3.814032373087065025e+03 9.182139069160197531e-18
3.815035426868858394e+03 8.878182454090849428e-18
3.816038480650652218e+03 7.930504787345997106e-18
3.817041534432446042e+03 7.878860592981861376e-18
3.818044588214239411e+03 7.750203402047201111e-18
3.819047641996033235e+03 7.037872681644098563e-18
3.820050695777827059e+03 7.767986130855866099e-18
3.821053749559620883e+03 8.312261047748407673e-18
3.822056803341414707e+03 8.369008946491995584e-18
3.823059857123208076e+03 8.670429425803256103e-18
3.824062910905001900e+03 9.018003274572525355e-18
3.825065964686795724e+03 9.845729826329838028e-18
3.826069018468589093e+03 1.055528121987476240e-17
3.827072072250382462e+03 1.042308617746021284e-17
3.828075126032176286e+03 1.013793799515909548e-17
3.829078179813969655e+03 1.017226350903820847e-17
3.830081233595763479e+03 1.065097691776040962e-17
3.831084287377557303e+03 1.109820865954945509e-17
3.832087341159351126e+03 1.060389627883572895e-17
3.833090394941144950e+03 1.036316190516442130e-17
3.834093448722938319e+03 1.012998713511123578e-17
3.835096502504732143e+03 9.380450657936110597e-18
3.836099556286525967e+03 9.274835410144727471e-18
3.837102610068319336e+03 8.838783014334336167e-18
3.838105663850113160e+03 8.100521008908308755e-18
3.839108717631906984e+03 7.941920706979841441e-18
3.840111771413699898e+03 8.614302739699695517e-18
3.841114825195493722e+03 9.387689315476562143e-18
3.842117878977287546e+03 9.603805966937679130e-18
3.843120932759081370e+03 9.806289027542697116e-18
3.844123986540875194e+03 9.463663373197720076e-18
3.845127040322668563e+03 9.446587056632175372e-18
3.846130094104462387e+03 9.413618946138261901e-18
3.847133147886256211e+03 9.385355011787937499e-18
3.848136201668049580e+03 9.189443901149653318e-18
3.849139255449843404e+03 8.882536732835328566e-18
3.850142309231637228e+03 8.422947739875353412e-18
3.851145363013431052e+03 8.945636551502711176e-18
3.852148416795224875e+03 7.063219977154560990e-18
3.853151470577017790e+03 7.149505668391804966e-18
3.854154524358811614e+03 7.235790532448436389e-18
3.855157578140605438e+03 7.322048926725466115e-18
3.856160631922398807e+03 7.408334617962710091e-18
3.857163685704192631e+03 7.494619482019341513e-18
3.858166739485986454e+03 7.580904346075972936e-18
3.859169793267779824e+03 7.667189210132604359e-18
3.860172847049573647e+03 7.753448431590246638e-18
3.861175900831367471e+03 7.839733295646878061e-18
3.862178954613161295e+03 7.926018159703509484e-18
3.863182008394955119e+03 8.012303850940753460e-18
3.864185062176748488e+03 8.098588714997384882e-18
3.865188115958542312e+03 8.184847109274414608e-18
3.866191169740335681e+03 8.271132800511658584e-18
3.867194223522129050e+03 8.357417664568290007e-18
3.868197277303922874e+03 8.215628154228737874e-18
3.869200331085716698e+03 7.813958347759725719e-18
3.870203384867510067e+03 6.973684293290596169e-18
3.871206438649303891e+03 8.043436447655411762e-18
3.872209492431097715e+03 8.498346079890174438e-18
3.873212546212891539e+03 7.959954071514109997e-18
3.874215599994685363e+03 8.594204732356494603e-18
3.875218653776478732e+03 8.660515666161808067e-18
3.876221707558272556e+03 9.232518504367739681e-18
3.877224761340066379e+03 9.706291990471774153e-18
3.878227815121859749e+03 1.054908067400306491e-17
3.879230868903653118e+03 1.120844950132623475e-17
3.880233922685446942e+03 1.196115077152498781e-17
3.881236976467240311e+03 1.153925226317599137e-17
3.882240030249034135e+03 1.160144383753079075e-17
3.883243084030827958e+03 1.139109015339733071e-17
3.884246137812621782e+03 1.150879547302178889e-17
3.885249191594415606e+03 1.184796433958690683e-17
3.886252245376208975e+03 1.192490206272168904e-17
3.887255299158002799e+03 1.185286538471628351e-17
3.888258352939796623e+03 1.151308109577542612e-17
3.889261406721589992e+03 1.060227831355757522e-17
3.890264460503383816e+03 9.941087207344951059e-18
3.891267514285177640e+03 9.974052836297026871e-18
3.892270568066970554e+03 9.472989834604255463e-18
3.893273621848764378e+03 9.642733086564424613e-18
3.894276675630558202e+03 1.013119647316678830e-17
3.895279729412352026e+03 1.041252390821852323e-17
3.896282783194145850e+03 1.051695380619211787e-17
3.897285836975939219e+03 1.103500461612489080e-17
3.898288890757733043e+03 1.119977403106177860e-17
3.899291944539526867e+03 1.079794209719270605e-17
3.900294998321320236e+03 1.050162284071906005e-17
3.901298052103114060e+03 1.024224133449896950e-17
3.902301105884907884e+03 1.014172317364213813e-17
3.903304159666701707e+03 9.334686063366001788e-18
3.904307213448495531e+03 8.825452998763044126e-18
3.905310267230288446e+03 8.573284507484415980e-18
3.906313321012082270e+03 8.149375950246915676e-18
3.907316374793876093e+03 8.014061609742428643e-18
3.908319428575669463e+03 7.952807231021651838e-18
3.909322482357463286e+03 7.462956662532036720e-18
3.910325536139257110e+03 7.200397128398517441e-18
3.911328589921050479e+03 7.184932986846838588e-18
3.912331643702844303e+03 7.125687002653340534e-18
3.913334697484638127e+03 7.248354578772504326e-18
3.914337751266431951e+03 7.048891554583917445e-18
3.915340805048225775e+03 6.994300115697255277e-18
3.916343858830019144e+03 7.171999190788959448e-18
3.917346912611812968e+03 7.143532597188559553e-18
3.918349966393606337e+03 7.245807689666453554e-18
3.919353020175399706e+03 7.413102487013465742e-18
3.920356073957193530e+03 7.688494901170132693e-18
3.921359127738987354e+03 7.793319364295915125e-18
3.922362181520780723e+03 7.578294591243368134e-18
3.923365235302574547e+03 8.202322954075822424e-18
3.924368289084368371e+03 8.554879738855111114e-18
3.925371342866162195e+03 8.511796036650286668e-18
3.926374396647956019e+03 9.022273180894524084e-18
3.927377450429749388e+03 9.506974550070996605e-18
3.928380504211543212e+03 9.623037088998924471e-18
3.929383557993337035e+03 9.864278524385727121e-18
3.930386611775130405e+03 9.648446423055328375e-18
3.931389665556923774e+03 9.382305196869454486e-18
3.932392719338717598e+03 9.078359335148069572e-18
3.933395773120510967e+03 8.072066823017097156e-18
3.934398826902304791e+03 7.384563101519161181e-18
3.935401880684098614e+03 7.093107667047326986e-18
3.936404934465892438e+03 7.091384649831379030e-18
3.937407988247686262e+03 7.372981745762806241e-18
3.938411042029479631e+03 7.716022644775284901e-18
3.939414095811273455e+03 8.276026401015522296e-18
3.940417149593067279e+03 8.851258552332860930e-18
3.941420203374860648e+03 9.153948753884390347e-18
3.942423257156654472e+03 9.441201283663842609e-18
3.943426310938448296e+03 9.193339094654165525e-18
3.944429364720241210e+03 9.021327713454375973e-18
3.945432418502035034e+03 8.897830475180821495e-18
3.946435472283828858e+03 8.488490222891605113e-18
3.947438526065622682e+03 8.335033330011992525e-18
3.948441579847416506e+03 8.350862258213807263e-18
3.949444633629209875e+03 8.494280487179476307e-18
3.950447687411003699e+03 8.187793526616328493e-18
3.951450741192797523e+03 8.030921204987484453e-18
3.952453794974590892e+03 7.992031308488303857e-18
3.953456848756384716e+03 8.035294508886052311e-18
3.954459902538178540e+03 8.325901256049407100e-18
3.955462956319972363e+03 8.801616962231716081e-18
3.956466010101766187e+03 9.480547783861152476e-18
3.957469063883559102e+03 9.773658406738705280e-18
3.958472117665352926e+03 1.023159055693173672e-17
3.959475171447146749e+03 1.059734418120369641e-17
3.960478225228940119e+03 1.153080923066366261e-17
3.961481279010733942e+03 1.180349097395299329e-17
3.962484332792527766e+03 1.269812320237604506e-17
3.963487386574321135e+03 1.313261884427361156e-17
3.964490440356114959e+03 1.283559482991807038e-17
3.965493494137908783e+03 1.340627831504697992e-17
3.966496547919702607e+03 1.300255461911699860e-17
3.967499601701496431e+03 1.244432185656823723e-17
3.968502655483289800e+03 1.240773152217195405e-17
3.969505709265083624e+03 1.242126419699332159e-17
3.970508763046876993e+03 1.138624287500776997e-17
3.971511816828670362e+03 1.069273299508208646e-17
3.972514870610464186e+03 1.061225245738373963e-17
3.973517924392258010e+03 1.146207548484418133e-17
3.974520978174051379e+03 1.141656731626396396e-17
3.975524031955845203e+03 1.098707777143356838e-17
3.976527085737639027e+03 1.135477196142257748e-17
3.977530139519432851e+03 1.179463848703745079e-17
3.978533193301226675e+03 1.182862568404602959e-17
3.979536247083020044e+03 1.153363405245553120e-17
3.980539300864813868e+03 1.141570870278813392e-17
3.981542354646607691e+03 1.103145187539397555e-17
3.982545408428401061e+03 1.030891622777380630e-17
3.983548462210194430e+03 1.003783011588609041e-17
3.984551515991988254e+03 9.648833543582003192e-18
3.985554569773781623e+03 9.039288286094739863e-18
3.986557623555575447e+03 8.553164166264676135e-18
3.987560677337369270e+03 8.005386139477972489e-18
3.988563731119163094e+03 7.801197432449870161e-18
3.989566784900956918e+03 7.414943791057008782e-18
3.990569838682750287e+03 7.182364591044861437e-18
3.991572892464544111e+03 7.199252310430744050e-18
3.992575946246337935e+03 7.108599105559220088e-18
3.993579000028131304e+03 7.299101282172020021e-18
3.994582053809925128e+03 6.800408152934213037e-18
3.995585107591718952e+03 6.688898416097777036e-18
3.996588161373511866e+03 6.608370315514208409e-18
3.997591215155305690e+03 6.624763794484090588e-18
3.998594268937099514e+03 6.791166477540464336e-18
3.999597322718893338e+03 6.531275428063041124e-18
4.000600376500687162e+03 6.485431010563820947e-18
4.001603430282480531e+03 6.319434059597904459e-18
4.002606484064274355e+03 6.429120690364273588e-18
4.003609537846068179e+03 6.466211469031151349e-18
4.004612591627861548e+03 6.234161251020731666e-18
4.005615645409655372e+03 6.311146950631041952e-18
4.006618699191449195e+03 6.382386226525946354e-18
4.007621752973243019e+03 6.663240927857607223e-18
4.008624806755036843e+03 6.650190912923664382e-18
4.009627860536829758e+03 6.579999674864864666e-18
4.010630914318623581e+03 6.562959340655966019e-18
4.011633968100417405e+03 6.515820385498100354e-18
4.012637021882210774e+03 6.577586375427741207e-18
4.013640075664004598e+03 6.665322114278790641e-18
4.014643129445798422e+03 6.899433252785386192e-18
4.015646183227591791e+03 7.184354787598664022e-18
4.016649237009385615e+03 7.423211461279476293e-18
4.017652290791179439e+03 7.455019037373977867e-18
4.018655344572973263e+03 7.248347134146991349e-18
4.019658398354767087e+03 7.118987666872273563e-18
4.020661452136560456e+03 7.140263579407749988e-18
4.021664505918354280e+03 7.306331667906346036e-18
4.022667559700147649e+03 7.415916555457371142e-18
4.023670613481941018e+03 7.298512329575882265e-18
4.024673667263734842e+03 7.323615606805641549e-18
4.025676721045528666e+03 7.259130260612232618e-18
4.026679774827322035e+03 6.861653432668251759e-18
4.027682828609115859e+03 6.568626355032566812e-18
4.028685882390909683e+03 6.435358045773229693e-18
4.029688936172703507e+03 6.467061810700855862e-18
4.030691989954497330e+03 6.841045054887105628e-18
4.031695043736290700e+03 6.846973458337273177e-18
4.032698097518084523e+03 6.900946579716051957e-18
4.033701151299878347e+03 7.103872595539092088e-18
4.034704205081671716e+03 6.901085546058960865e-18
4.035707258863465086e+03 6.941840321249142262e-18
4.036710312645258909e+03 6.977084005608189112e-18
4.037713366427052279e+03 6.951704450053837117e-18
4.038716420208846102e+03 6.903652701090019187e-18
4.039719473990639926e+03 6.980466347132918443e-18
4.040722527772433750e+03 6.805169404540068265e-18
4.041725581554227574e+03 6.456875908637877879e-18
4.042728635336020943e+03 6.360946945819490706e-18
4.043731689117814767e+03 6.467078767903413199e-18
4.044734742899608591e+03 6.413740507644768868e-18
4.045737796681401960e+03 6.088512529533313383e-18
4.046740850463195784e+03 6.121548882427762478e-18
4.047743904244989608e+03 6.240511102992994983e-18
4.048746958026782522e+03 6.102013771491403900e-18
4.049750011808576346e+03 6.042857949984674126e-18
4.050753065590370170e+03 5.560250174938573319e-18
4.051756119372163994e+03 5.570921218430813652e-18
4.052759173153957818e+03 6.066277087487275446e-18
4.053762226935751187e+03 6.176431902480349588e-18
4.054765280717545011e+03 5.955092846221879060e-18
4.055768334499338835e+03 6.032344897989431421e-18
4.056771388281132204e+03 6.019254764795779758e-18
4.057774442062926028e+03 6.088851673584460124e-18
4.058777495844719851e+03 6.170749998852722841e-18
4.059780549626513675e+03 6.188351988697544993e-18
4.060783603408307499e+03 6.192269102488289856e-18
4.061786657190100414e+03 6.096071719561129226e-18
4.062789710971894692e+03 6.256933946874622794e-18
4.063792764753688061e+03 6.182259803486091945e-18
4.064795818535481430e+03 5.996980031670645552e-18
4.065798872317275254e+03 6.232600361204844103e-18
4.066801926099069078e+03 6.369161676482754824e-18
4.067804979880862447e+03 6.185706665098600411e-18
4.068808033662656271e+03 6.166264198390847772e-18
4.069811087444450095e+03 6.254467294287989666e-18
4.070814141226243919e+03 6.130831089671526278e-18
4.071817195008037743e+03 6.134155942143683173e-18
4.072820248789831112e+03 6.358974947239164288e-18
4.073823302571624936e+03 6.553388447378421212e-18
4.074826356353418305e+03 6.588242529668955586e-18
4.075829410135212129e+03 6.746002002504762748e-18
4.076832463917005498e+03 6.561805423701454545e-18
4.077835517698799322e+03 6.615915029881304574e-18
4.078838571480592691e+03 6.942597191509628283e-18
4.079841625262386515e+03 7.177327061114413499e-18
4.080844679044180339e+03 7.329977452896786885e-18
4.081847732825974163e+03 7.309530375335088594e-18
4.082850786607767986e+03 7.549313491301960256e-18
4.083853840389561356e+03 7.762714508812065654e-18
4.084856894171355179e+03 7.734054354948328351e-18
4.085859947953149003e+03 8.055948381600888859e-18
4.086863001734942372e+03 8.343161206710938575e-18
4.087866055516735742e+03 8.658755425818295224e-18
4.088869109298530020e+03 9.254525644564712982e-18
4.089872163080322935e+03 9.846916830508851623e-18
4.090875216862116758e+03 1.048805790585380295e-17
4.091878270643910582e+03 1.099077113286861765e-17
4.092881324425704406e+03 1.212738843204915723e-17
4.093884378207498230e+03 1.269845242025984116e-17
4.094887431989291599e+03 1.338384104093147904e-17
